country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
South Sudan;;;;;;;;;;;;;3.83;4.52;5.5;6.68;7.98;;;
Sao Tome and Principe;6.31;7.58;10.2;13.3;13.8;14.2;14.6;15.5;16.4;18.8;20.2;21.6;23;24.4;25.8;28;29.9;31.9;32;
Suriname;3.06;4.16;4.72;6.08;6.4;9.5;14.1;21.1;31.4;31.6;32;34.7;37.4;40.1;42.8;45.4;48.9;;;
Slovak Republic;12.5;40.1;43;52.9;55.2;56.1;61.8;66;70;75.7;74.4;76.7;77.9;80;77.6;80.5;81.6;80.4;82.9;
Slovenia;30.2;27.8;31.9;40.8;46.8;54;56.7;58;64;70;67.3;68.3;72.7;71.6;73.1;75.5;78.9;79.7;83.1;
Sweden;51.8;70.6;79.1;83.9;84.8;87.8;82;90;91;90;92.8;93.2;94.8;92.5;90.6;89.7;93;89.2;94.5;
Eswatini;1.28;1.82;2.44;3.23;3.7;3.7;4.1;6.85;8.94;11;18.1;20.8;24.7;25;25.6;;;;;
Seychelles;11;14.3;14.6;24.3;25.4;35;38.4;40.4;;41;43.2;47.1;50.4;51.3;54.3;56.5;58.8;70.1;75;
Syria;0.354;2.09;3.4;4.32;5.65;7.83;11.5;14;17.3;20.7;22.5;24.3;26.2;28.1;30;31.9;34.3;;;
Turks and Caicos Islands;;;;;;;;;;;;;;;;;;;;
Chad;0.0459;0.166;0.32;0.361;0.399;0.581;0.847;1.19;1.5;1.7;1.9;2.1;2.5;2.9;3.5;5;6.5;8;9.8;
Togo;0.9;1;1.2;1.5;1.8;2;2.2;2.4;2.6;3;3.5;4;4.5;5.7;7.12;11.3;12.4;15.5;19.3;
Thailand;5.56;7.53;9.3;10.7;15;17.2;20;18.2;20.1;22.4;23.7;26.5;28.9;34.9;39.3;47.5;52.9;56.8;66.7;
Tajikistan;0.0513;0.0555;0.0646;0.0775;0.299;3.77;7.2;8.78;10.1;11.6;13;14.5;16;17.5;19;20.5;22;;;
Turkmenistan;0.175;0.302;0.425;0.754;0.997;1.32;1.41;1.75;1.95;3;5;7.2;9.6;12.2;15;18;21.3;;;
Timor-Leste;;0;0;0;0.099;0.5;1;1.5;2;3;4;7;11;17.5;23;25.2;27.5;;;
