country;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Liberia;2000;5000;47.3k;94.4k;160k;280k;563k;855k;1.09M;1.57M;2.02M;2.38M;2.55M;3.23M;3.65M;3.12M;2.66M;;;
Libya;50k;70k;127k;500k;2M;3.93M;4.5M;7.38M;9.53M;10.9M;10M;9.59M;10.2M;8.5M;9.75M;7.66M;6.02M;;;
St. Lucia;2700;14.3k;99k;101k;106k;106k;147k;175k;190k;198k;217k;216k;212k;188k;188k;177k;177k;185k;;
Liechtenstein;11k;11.4k;25k;25.5k;27.5k;28.8k;32k;34k;35k;35.5k;37k;36.1k;38.4k;40.7k;41k;44.3k;46.4k;47.3k;47.7k;
Sri Lanka;668k;931k;1.39M;2.21M;3.36M;5.41M;7.98M;11.1M;16.3M;17.4M;18.3M;19.3M;20.3M;22.1M;23.9M;25.8M;28.2M;30.3M;28.4M;
Lesotho;57k;138k;126k;196k;250k;358k;482k;593k;661k;987k;1.23M;1.54M;1.79M;2.14M;2.14M;2.28M;2.38M;1.58M;1.68M;
Lithuania;1.02M;1.65M;2.1M;3.05M;4.35M;4.72M;4.91M;5.02M;4.96M;4.89M;4.94M;5M;4.57M;4.27M;4.18M;4.2M;4.36M;4.59M;4.66M;
Luxembourg;409k;473k;539k;470k;510k;713k;685k;707k;720k;727k;765k;761k;788k;802k;807k;764k;794k;799k;836k;
Latvia;657k;917k;1.22M;1.54M;1.87M;2.18M;2.22M;2.3M;2.3M;2.31M;2.31M;2.63M;2.56M;2.38M;2.59M;2.65M;2.46M;2.07M;2.07M;
Macao;141k;194k;276k;364k;432k;533k;636k;794k;933k;1.04M;1.12M;1.35M;1.61M;1.72M;1.86M;1.9M;1.97M;2.05M;2.18M;
Morocco;4.77M;6.2M;7.36M;9.34M;12.4M;16M;20M;22.8M;25.3M;32M;36.6M;39M;42.4M;44.1M;43.1M;41.5M;43.9M;44.7M;46.7M;
Monaco;14.3k;14.9k;15.1k;15.8k;17.2k;18.3k;20.4k;22k;23k;23.4k;31.8k;33.2k;35.5k;33.7k;34k;33.3k;33k;32.7k;33.8k;
Moldova;225k;338k;476k;787k;1.09M;1.36M;1.88M;2.42M;2.14M;2.55M;3.22M;3.58M;3.7M;3.74M;3.71M;3.79M;3.75M;3.64M;3.61M;
Madagascar;148k;163k;284k;334k;510k;1.05M;2.22M;4.84M;6.28M;7.71M;8.68M;8.78M;8.46M;9.71M;10.7M;8M;8.73M;10.7M;;
Maldives;18.9k;41.9k;66.5k;113k;204k;271k;314k;436k;458k;494k;530k;561k;625k;666k;740k;812k;900k;858k;828k;
Mexico;21.8M;25.9M;30.1M;38.5M;47.1M;55.4M;66.6M;75.3M;83.2M;91.4M;94.6M;101M;107M;105M;108M;112M;114M;120M;122M;
Marshall Islands;489;552;598;644;660;;;;;;;;;15.5k;15.5k;;16k;;;
North Macedonia;223k;365k;776k;986k;1.13M;1.26M;1.79M;1.97M;1.94M;2.15M;2.21M;2.24M;2.24M;2.22M;2.08M;2.05M;2.01M;1.97M;1.92M;
Mali;24k;46k;247k;407k;762k;1.51M;2.53M;3.44M;4.46M;7.44M;10.8M;14.6M;19.7M;23.5M;22.7M;20.2M;22M;22M;22.9M;
Malta;239k;277k;290k;306k;324k;347k;369k;386k;422k;456k;522k;532k;557k;546k;524k;585k;605k;616k;634k;
Myanmar;22.7k;48k;66.5k;92.5k;129k;214k;248k;367k;502k;594k;1.24M;3.73M;6.83M;29M;41M;50.6M;47.9M;61.1M;;
Montenegro;;;;484k;543k;644k;900k;1.16M;1.29M;1.17M;1.16M;991k;994k;1.01M;1.01M;1.04M;1.04M;1.13M;1.15M;
Mongolia;195k;216k;319k;429k;557k;775k;1.19M;1.76M;2.25M;2.51M;2.94M;3.38M;2.88M;3.03M;3.07M;3.37M;3.89M;4.22M;4.42M;
Northern Mariana Islands;13.2k;17.1k;18.6k;20.5k;;;;;;;;;;;;;;;;
Mozambique;153k;255k;436k;708k;1.5M;2.34M;3.08M;4.41M;5.97M;7.22M;7.86M;8.8M;12.4M;18.5M;20.1M;15M;11.9M;14.1M;14.8M;
Mauritania;110k;247k;351k;522k;746k;1.06M;1.41M;2.09M;2.18M;2.78M;3.31M;4.03M;3.99M;3.75M;3.64M;3.61M;4.07M;4.57M;4.71M;
Mauritius;272k;348k;462k;548k;657k;772k;929k;1.03M;1.09M;1.19M;1.29M;1.49M;1.53M;1.65M;1.76M;1.81M;1.84M;1.92M;1.87M;
Malawi;55.7k;86k;135k;222k;421k;620k;1.05M;1.51M;2.49M;3.12M;3.95M;4.65M;5.29M;5.63M;6.57M;7.18M;7.77M;7.08M;8.9M;
Malaysia;7.38M;9.05M;11.1M;14.6M;19.5M;19.5M;23.3M;27.7M;30.1M;33.9M;36.7M;41.3M;43M;44.9M;44.1M;43.5M;42.3M;42.4M;44.6M;
Namibia;107k;150k;224k;286k;449k;609k;800k;1.05M;1.63M;1.95M;2.19M;2.15M;2.73M;2.67M;2.55M;2.66M;2.68M;2.53M;2.58M;
New Caledonia;67.9k;80k;97.1k;116k;134k;155k;176k;196k;210k;221k;227k;231k;241k;243k;260k;;;;;
Niger;2130;57.5k;82.4k;172k;324k;483k;900k;1.9M;2.6M;3.67M;4.74M;5.4M;7.01M;8.24M;8.96M;7.47M;8.78M;;;
Nigeria;266k;1.57M;3.15M;9.15M;18.6M;32.3M;40.4M;63M;74.5M;87.3M;95.2M;113M;127M;139M;151M;154M;145M;173M;185M;
Nicaragua;165k;237k;467k;739k;1.12M;1.83M;2.5M;3.11M;3.34M;3.96M;4.82M;5.85M;6.81M;7.07M;7.26M;7.75M;8.18M;7.44M;5.79M;
Netherlands;12.2M;12.1M;13.2M;14.8M;15.8M;17.3M;19.3M;20.6M;20.1M;19.2M;19.8M;19.7M;19.5M;19.6M;20.8M;20.9M;20.5M;21.1M;21.8M;
Curaçao;;;;;;;;;201k;204k;206k;205k;204k;193k;190k;187k;187k;186k;184k;
Norway;3.59M;3.79M;4.06M;4.52M;4.75M;4.87M;5.04M;5.21M;5.35M;5.6M;5.73M;5.8M;5.69M;5.74M;5.71M;5.73M;5.72M;5.72M;5.78M;
Nepal;17.3k;21.9k;81.9k;117k;227k;1.16M;3.27M;4.2M;5.6M;9.2M;13.4M;16.6M;21.4M;23M;27.5M;32.1M;36.1M;39.2M;;
Nauru;1500;;;;;;;;;6200;6700;6800;;;9400;9900;10k;;;
New Zealand;2.29M;2.45M;2.6M;3.03M;3.53M;3.8M;4.25M;4.62M;4.7M;4.71M;4.82M;4.92M;4.77M;5.1M;5.6M;6.1M;6.4M;6.4M;;
Oman;323k;463k;594k;806k;1.33M;1.82M;2.5M;3.22M;3.97M;4.61M;4.81M;5.28M;5.62M;6.19M;6.65M;6.87M;6.94M;6.44M;6.38M;
